ID_Date,Visit_Store,Mercado,Sales,Complementos,Ropa_hombre,Zapatos,Ropa_Mujer,Home,Interior,Otros,Ticket_medio
202201,5516,76331,1299,115,270,273,444,131,60,6,68
202202,6769,97646,1752,155,393,286,689,179,42,8,86
202203,6249,111510,1897,148,442,333,693,249,30,2,92
202204,6507,100269,1546,110,371,297,591,154,23,0,87
202205,7183,113667,1784,138,411,374,635,187,38,1,83
202206,5798,123783,1818,153,483,336,659,154,33,0,81
202207,5784,107287,1583,142,382,323,585,124,26,1,85
202208,5505,64081,1142,96,299,216,433,73,25,0,80
202209,5967,79586,1541,117,399,295,516,196,18,0,72
202210,6611,83242,1586,132,435,309,521,162,27,0,60
202211,6249,92641,1562,114,436,295,548,147,22,0,63
202212,5472,96881,1817,120,446,481,531,184,55,0,61
202301,4621,84511,1072,86,249,240,309,121,67,0,69
202302,5568,97791,1633,139,397,393,472,172,60,0,63
202303,5450,125585,1545,108,519,339,365,148,66,0,79
202304,4447,101354,1145,74,339,282,314,93,43,0,81
202305,6736,126393,2107,136,489,397,894,133,58,0,89
202306,5859,131784,1870,128,361,427,797,109,48,0,82
202307,5801,109947,1696,129,375,261,749,93,89,0,83
202308,5640,72409,1447,102,365,281,586,68,45,0,62
202309,5874,83286,1618,130,414,263,667,103,41,0,74
202310,6602,94669,1704,97,346,302,735,157,67,0,86
202311,7233,104168,2147,123,510,385,957,130,42,0,85
202312,6311,102939,2163,115,509,389,996,127,27,0,89
202401,5827,101658,1880,185,552,381,584,116,62,0,90
202402,6976,110473,2237,171,549,376,923,140,78,0,95
202403,6506,128165,2195,236,489,373,919,126,52,0,75
202404,6176,116453,1663,172,370,302,697,78,44,0,84
202405,6453,135519,1964,216,423,325,859,94,47,0,89
202406,5339,142371,1784,70,491,342,739,99,43,0,82
202407,5873,131171,1826,151,399,328,807,102,39,0,75
202408,7218,107677,2202,187,640,376,824,141,34,0,91
202409,6540,69129,1641,209,396,246,616,115,59,0,62
202410,6243,112587,1863,154,482,323,747,114,44,0,78
202411,6469,105141,1883,175,479,318,749,118,44,0,77
202412,6618,98634,1897,181,499,316,734,122,45,0,77
