ID_Date,Dias_mes,Dia_inicio_mes,Dia_findemes,working_days,Dias_fines_semana,Easterweek
202201,31,5,7,21,10,0
202202,28,1,7,20,8,0
202203,31,1,3,23,8,0
202204,30,4,5,22,8,1
202205,31,6,1,21,10,0
202206,30,2,3,22,8,0
202207,31,4,6,22,9,0
202208,31,7,2,22,9,0
202209,30,3,4,22,8,0
202210,31,5,7,21,10,0
202211,30,1,2,22,8,0
202212,31,3,5,23,8,0
202301,31,6,1,21,10,0
202302,28,2,1,20,8,0
202303,31,2,4,23,8,0
202304,30,5,6,21,9,1
202305,31,7,2,22,9,0
202306,30,3,4,22,8,0
202307,31,5,7,21,10,0
202308,31,1,3,23,8,0
202309,30,4,5,22,8,0
202310,31,6,1,21,10,0
202311,30,2,3,22,8,0
202312,31,4,6,22,9,0
202401,31,7,2,22,9,0
202402,28,3,2,20,8,0
202403,31,3,5,23,8,0
202404,30,6,7,20,10,1
202405,31,1,3,23,8,0
202406,30,4,5,22,8,0
202407,31,6,1,21,10,0
202408,31,2,4,23,8,0
202409,30,5,6,21,9,0
202410,31,2,4,23,8,0
202411,30,5,5,21,9,0
202412,31,7,6,22,9,0
