ID_Date,Unique_visitors,PDFBrochuresDownloaded,ProductConfigurator,Product_configurator_Visists,SocialNetworks,DirectTraffic,EMail,NaturalSearch,OnlineMedia,OtherReferrer,PaidSearch
202201,272382,4838,33222,94248,1415,65373,25,167199,63649,39808,13798
202202,352581,5823,38570,109531,546,77209,26,176733,124861,45543,28656
202203,332955,4845,33956,97805,5444,83178,341,173514,104132,43583,15243
202204,282169,3711,45949,90689,1184,69335,162,162805,74044,39650,18510
202205,261829,9037,48685,92069,8648,70972,210,156011,44196,40472,20031
202206,201141,10727,38608,73421,1082,61455,2374,134355,15600,35272,13658
202207,206538,11023,38912,74564,909,66835,204,144300,11000,35674,12262
202208,259903,15743,47613,88335,7511,78704,14,172986,15205,42545,18902
202209,261618,14130,44164,83840,1773,58630,199,174125,41832,41167,24528
202210,396642,16321,53200,100262,2117,74040,874,203699,162588,45763,18063
202211,249824,12549,41706,80311,1718,67089,4366,179778,17594,42170,18994
202212,209224,9805,35717,68576,1942,55981,4991,149553,11118,36574,17592
202301,251831,12305,44708,85903,1690,59771,10490,190767,6990,40570,18527
202302,260613,12474,47876,90726,5689,55576,1504,174879,26555,40923,38513
202303,228014,10427,38636,73050,9182,56232,1309,170729,5379,38395,19291
202304,207833,11690,33190,63390,2296,50402,3628,149986,11336,34380,19240
202305,230426,16570,39382,75186,3816,56327,757,159421,30434,39038,18098
202306,294687,13607,46154,84483,1016,71304,7213,146865,81641,41392,23318
202307,220113,13676,33698,61335,3421,79389,1039,146242,4336,40195,21277
202308,254381,15904,44518,79057,19302,76983,4531,168868,539,42787,16136
202309,195193,13313,40133,72001,1136,67405,948,145974,461,29847,11458
202310,290965,18169,51339,93851,3652,114165,7386,160316,51725,28599,29321
202311,242451,16999,45218,84245,5144,122674,10584,152242,2336,27126,27055
202312,203367,13691,40336,72409,2896,110864,3266,130510,405,22774,19003
202401,266488,17565,51087,90872,5711,133517,3107,154374,16697,26055,34642
202402,299866,19444,59157,105030,15205,145599,1868,158737,25195,34106,38035
202403,254981,15247,49244,86681,35521,109026,10793,157007,2043,28587,11347
202404,220584,15098,45777,81540,992,98557,1595,144292,9755,25027,28959
202405,281652,16523,48499,88308,2064,91138,143,139353,34073,21725,110054
202406,233019,11787,38257,70555,875,78737,97,131712,34020,20354,54874
202407,254096,13101,40543,82847,2061,102704,80,144785,36606,24601,37128
202408,252850,14253,46315,87169,2402,112416,54,181144,13810,24534,18772
202409,236865,5080,42372,81909,1566,107521,118,176877,5450,18959,20635
202410,244208,11055,41872,80620,1726,100345,87,158630,22472,22112,32852
202411,247005,10872,42776,83136,1939,105747,85,165359,19585,22552,27347
202412,245232,10315,43334,83209,1908,106507,86,170503,15329,22039,24902
